COMMENT,kmp_n_79_min_2_max_158_run_ff_000111_111000
SORT_BY,79
158,79
157,79
156,79
155,79
154,79
153,79
152,79
151,79
150,79
149,79
148,79
147,79
146,79
145,79
144,79
143,79
142,79
141,79
140,79
139,79
138,79
137,79
136,79
135,79
134,79
133,79
132,79
131,79
130,79
129,79
128,79
127,79
126,79
125,79
124,79
123,79
122,79
121,79
120,79
119,79
118,79
117,79
116,79
115,79
114,79
113,79
112,79
111,79
110,79
109,79
108,79
107,79
106,79
105,79
104,79
103,79
102,79
101,79
100,79
99,79
98,79
97,79
96,79
95,79
94,79
93,79
92,79
91,79
90,79
89,79
88,79
87,79
86,79
85,79
84,79
83,79
82,79
81,79
80,79
79,79
78,79
77,79
76,79
75,79
74,79
73,79
72,79
71,79
70,79
69,79
68,79
67,79
66,79
65,79
64,79
63,79
62,79
61,79
60,79
59,79
58,79
57,79
56,79
55,79
54,79
53,79
52,79
51,79
50,79
49,79
48,79
47,79
46,79
45,79
44,79
43,79
42,79
41,79
40,79
39,79
38,80
37,81
36,82
35,83
34,84
33,85
32,86
31,87
30,88
29,89
28,90
27,91
26,92
25,93
24,94
23,95
22,96
21,97
20,98
19,100
18,103
17,106
16,109
15,112
14,115
13,118
12,124
11,130
10,136
9,145
8,155
7,169
6,187
5,212
4,250
3,313
2,440
1,820
