COMMENT,kmp_n_76_min_2_max_152_run_ff_0011n_ceil_n_b
SORT_BY,76
152,76
151,76
150,76
149,76
148,76
147,76
146,76
145,76
144,76
143,76
142,76
141,76
140,76
139,76
138,76
137,76
136,76
135,76
134,76
133,76
132,76
131,76
130,76
129,76
128,76
127,76
126,76
125,76
124,76
123,76
122,76
121,76
120,76
119,76
118,76
117,76
116,76
115,76
114,76
113,76
112,76
111,76
110,76
109,76
108,76
107,76
106,76
105,76
104,76
103,76
102,76
101,76
100,76
99,76
98,76
97,76
96,76
95,76
94,76
93,76
92,76
91,76
90,76
89,76
88,76
87,76
86,76
85,76
84,76
83,76
82,76
81,76
80,76
79,76
78,76
77,76
76,76
75,76
74,76
73,76
72,76
71,76
70,76
69,76
68,76
67,76
66,76
65,76
64,76
63,76
62,76
61,76
60,76
59,76
58,76
57,76
56,76
55,76
54,76
53,76
52,76
51,76
50,76
49,76
48,76
47,76
46,76
45,76
44,76
43,76
42,76
41,76
40,76
39,76
38,76
37,76
36,76
35,76
34,76
33,76
32,76
31,76
30,76
29,76
28,76
27,76
26,76
25,77
24,78
23,79
22,80
21,81
20,82
19,83
18,84
17,85
16,86
15,87
14,88
13,89
12,92
11,95
10,98
9,101
8,106
7,112
6,120
5,131
4,148
3,176
2,232
1,401
